expedition,peak id,year,season,host country,route,nation,sponsor,success,other countries,summit time,summit duration,expedition duration,ending cause,members,member summit,members died,sherpas,sherpas summit,sherpas died,sherpas free,o2,o2 missing data,agency,commercial route,standard route,ending cause
ANN260101,ANN2,1960,1,1,NW Ridge-W Ridge,UK,,VERO,"India, Nepal",1530,63,0,1,10,2,0,9,1,0,FALSO,VERO,FALSO,,,,1
ANN269301,ANN2,1969,3,1,NW Ridge-W Ridge,Yugoslavia,Mountaineering Club of Slovenia,VERO,,1800,27,31,1,10,2,0,0,0,0,FALSO,FALSO,FALSO,,,,1
ANN273101,ANN2,1973,1,1,W Ridge-N Face,Japan,Sangaku Doshikai Annapurna II Expedition 1973,VERO,,2030,51,0,1,6,1,0,8,0,0,FALSO,FALSO,FALSO,,,,1
ANN278301,ANN2,1978,3,1,N Face-W Ridge,UK,British Annapurna II Expedition,FALSO,,,24,27,4,2,0,0,0,0,0,VERO,FALSO,FALSO,,,,4
ANN279301,ANN2,1979,3,1,N Face-W Ridge,UK,,FALSO,,,0,0,4,3,0,0,0,0,0,VERO,FALSO,FALSO,,,,4
ANN280101,ANN2,1980,1,1,N Face-W Ridge,Japan,Japan-Kamiichi Hoskai Himalaya Expedition,FALSO,,,30,37,6,6,0,1,2,0,0,FALSO,FALSO,FALSO,,,,6
ANN280102,ANN2,1980,1,1,SE Spur (to 6000m),Poland,Lodz Himalayan Expedition,FALSO,,,29,0,6,7,0,0,2,0,0,FALSO,FALSO,FALSO,,,,6
ANN281302,ANN2,1981,3,1,NW Ridge-W Ridge,Italy,Italian Expedition Annapurna II-IV (Italian Alpine Club),FALSO,,,19,0,4,19,0,0,0,0,0,VERO,FALSO,FALSO,,,,4
ANN281301,ANN2,1981,3,1,S Ridge/SE Face,Japan,Osaka Annapurna II Expedition 1981 (Osaka Climbers Club),FALSO,,,37,43,6,9,0,1,3,0,0,FALSO,FALSO,FALSO,,,,6
ANN282301,ANN2,1982,3,1,S Face,Japan,Shinshu University Academic Alpine Club Annapurna II Expedition,FALSO,,,20,24,4,5,0,0,0,0,0,VERO,FALSO,FALSO,,,,4
ANN283101,ANN2,1983,1,1,N Face-W Ridge,Austria,,FALSO,,,24,25,6,5,0,1,0,0,0,FALSO,FALSO,FALSO,,,,6
ANN283301,ANN2,1983,3,1,S Face-S Spur,Australia,Australian Annapurna II Expedition,VERO,,1330,50,58,1,5,4,0,3,0,0,FALSO,FALSO,FALSO,Kunga,,,1
ANN283302,ANN2,1983,3,1,N Face-W Ridge,S Korea,1983 Annapurna II Expedition of Yeung Nam Univ Alpine Club,FALSO,,,37,55,5,6,0,0,4,0,0,FALSO,FALSO,FALSO,,,,5
ANN283401,ANN2,1983,4,1,N Face-W Ridge,UK,British Annapurna II Winter Expedition,FALSO,,,16,20,5,4,0,0,2,0,0,FALSO,FALSO,FALSO,Sherpa Cooperative Trekking (SCT),,,5
ANN284101,ANN2,1984,1,1,S Face,Japan,Expedition to S Face of Mt. Annapurna II 1984,FALSO,,,20,23,5,3,0,0,0,0,0,VERO,FALSO,FALSO,,FALSO,FALSO,5
ANN284301,ANN2,1984,3,1,SW Ridge,Japan,Osaka Annapurna II South Face Expedition,FALSO,,,11,34,5,4,0,0,2,0,0,FALSO,FALSO,FALSO,,,,5
ANN285301,ANN2,1985,3,1,S Face,Japan,Pukuola Tagawa Yamanokai Annapurna II Expedition 1985,FALSO,,,28,34,4,8,0,0,5,0,0,FALSO,FALSO,FALSO,,,,4
ANN286102,ANN2,1986,1,1,N Face-W Ridge,Spain,Azpeitia Annapurna II 86,FALSO,,,35,37,4,7,0,0,0,0,0,VERO,FALSO,FALSO,Remote Adventure,,,4
ANN286101,ANN2,1986,1,1,NW Ridge-W Ridge,USA,1986 American Expedition to Annapurna II,FALSO,,,42,46,4,9,0,0,0,0,0,VERO,FALSO,FALSO,Mountain Travel,,,4
ANN287301,ANN2,1987,3,1,S Face,Japan,Okayama Climbing Club Annapurna II SE Face Expedition,FALSO,,,28,36,10,2,0,0,0,0,0,VERO,FALSO,FALSO,Jai Himal Trekking,,,10
ANN290301,ANN2,1990,3,1,N Face,USA,American Annapurna II Expedition,FALSO,,,18,20,4,7,0,0,4,0,0,FALSO,FALSO,FALSO,Yangrima,,,4
ANN450201,ANN4,1950,2,1,NW Ridge,UK,British West Nepal Expedition,FALSO,New Zealand,,13,0,4,6,0,0,5,0,0,FALSO,FALSO,FALSO,,,,4
ANN452301,ANN4,1952,3,1,NW Ridge (recon),Japan,Japanese Alpine Club (JAC),FALSO,,,0,0,4,6,0,0,6,0,0,FALSO,FALSO,FALSO,,,,4
ANN453101,ANN4,1953,1,1,Reconnaissance from S,UK,,FALSO,,,0,0,12,2,0,0,0,0,0,VERO,FALSO,FALSO,,,,12
ANN453301,ANN4,1953,3,1,S Face (recon),Japan,Academic Alpine Club of the University of Kyoto,FALSO,,,0,14,4,7,0,0,7,0,0,FALSO,FALSO,FALSO,,,,4
ANN455101,ANN4,1955,1,1,NW Ridge,W Germany,German Nepal Expedition,VERO,,1730,17,0,1,4,3,0,2,0,0,FALSO,FALSO,FALSO,,,,1
ANN457101,ANN4,1957,1,1,NW Ridge,UK,,VERO,,,19,32,1,2,2,0,4,0,0,FALSO,FALSO,FALSO,,,,1
ANN460101,ANN4,1960,1,1,NW Ridge,UK,,VERO,Nepal,,64,0,1,4,3,0,3,3,0,FALSO,FALSO,FALSO,,,,1
ANN469301,ANN4,1969,3,1,NW Ridge,Czechoslovakia,"Northern Bohemian Mountaineering Club, Libecec, Czechoslovakia",VERO,,1430,0,0,1,9,1,0,1,1,0,FALSO,FALSO,FALSO,,,,1
